sim_id,generator_model,fitted_model,wm_true,wp_true,offset_true,wm_hat,wp_hat,offset_hat,negloglik,bic,mse_bias_var,n_trials,success,fun
0,counting,counting,0.15,0.2,0.01,0.1302905999715978,0.19416533611670525,-0.011275949915281146,88.5164275245047,195.67667934427598,0.024021039944143285,500,True,88.5164275245047
0,counting,timing,0.15,0.2,0.01,0.11197167032406237,0.1586899933687744,0.005334091370392741,115.37075636588969,249.38533702704595,0.19361870858753438,500,True,115.37075636588969
1,counting,counting,0.15,0.2,0.01,0.1598371142493831,0.1867728061551417,0.01844775615299418,99.78847870579268,218.22078170685194,0.03403602626730906,500,True,99.78847870579268
1,counting,timing,0.15,0.2,0.01,0.13404801493585744,0.1536661590138783,0.027724332538881815,129.19519206829472,277.03420843185603,0.2661365238479495,500,True,129.19519206829472
2,counting,counting,0.15,0.2,0.01,0.13896293446944685,0.2077067772281384,0.002561592665109232,119.94772101067316,258.5392663166129,0.03271481668805443,500,True,119.94772101067316
2,counting,timing,0.15,0.2,0.01,0.13232223480115174,0.16781909161098918,0.0036496024336815343,159.23511638643848,337.11405706814355,0.23260926427919737,500,True,159.23511638643848
3,counting,counting,0.15,0.2,0.01,0.14573346469391601,0.1912278386537562,0.01120721971928543,90.15954448243176,198.96291326013008,0.009351174758347569,500,True,90.15954448243176
3,counting,timing,0.15,0.2,0.01,0.12531138347485482,0.15974323537381568,0.031825815722960685,126.45350464616364,271.55083358759384,0.27392641068865575,500,True,126.45350464616364
4,counting,counting,0.15,0.2,0.01,0.15134468714146193,0.20300247052129675,0.0036287254803627753,118.5609035764843,255.76563144823515,0.08024442338356141,500,True,118.5609035764843
4,counting,timing,0.15,0.2,0.01,0.12564227948554085,0.1673289555544039,0.021970287513084677,146.27355543607837,311.19093516742333,0.22844773284474162,500,True,146.27355543607837
